unhcr_name,wps_name
Bolivia (Plurinational State of),Bolivia
Central African Rep.,Central African Republic
"China, Hong Kong SAR",China
"China, Hong Kong SAR",China
"China, Macao SAR",China
"China, Macao SAR",China
Cote d'Ivoire,Côte d'Ivoire
Dem. Rep. of the Congo,Congo
Dominican Rep.,Dominican Republic
Iran (Islamic Rep. of),Iran
Lao People's Dem. Rep.,Lao PDR
Micronesia (Federated States of),Federated States of Micronesia
Netherlands (Kingdom of the),Netherlands
Rep. of Moldova,Moldova
Sao Tome and Principe,São Tomé and Príncipe
Serbia and Kosovo: S/RES/1244 (1999),Serbia
State of Palestine,Palestine
Syrian Arab Rep.,Syrian Arab Republic
United Kingdom of Great Britain and Northern Ireland,United Kingdom
United Rep. of Tanzania,Tanzania
United States of America,United States
Venezuela (Bolivarian Republic of),Venezuela